C000  4C F5 C5  JMP A:00 X:00 Y:00 P:24 SP:FD PPU:  0
C5F5  A2 00     LDX A:00 X:00 Y:00 P:24 SP:FD PPU:  9
C5F7  86 00     STX A:00 X:00 Y:00 P:26 SP:FD PPU: 15
C5F9  86 10     STX A:00 X:00 Y:00 P:26 SP:FD PPU: 24
C5FB  86 11     STX A:00 X:00 Y:00 P:26 SP:FD PPU: 33
C5FD  20 2D C7  JSR A:00 X:00 Y:00 P:26 SP:FD PPU: 42
C72D  EA        NOP A:00 X:00 Y:00 P:26 SP:FB PPU: 60
C72E  38        SEC A:00 X:00 Y:00 P:26 SP:FB PPU: 66
C72F  B0 04     BCS A:00 X:00 Y:00 P:27 SP:FB PPU: 72
C735  EA        NOP A:00 X:00 Y:00 P:27 SP:FB PPU: 81
C736  18        CLC A:00 X:00 Y:00 P:27 SP:FB PPU: 87
C737  B0 03     BCS A:00 X:00 Y:00 P:26 SP:FB PPU: 93
C739  4C 40 C7  JMP A:00 X:00 Y:00 P:26 SP:FB PPU: 99
C740  EA        NOP A:00 X:00 Y:00 P:26 SP:FB PPU:108
C741  38        SEC A:00 X:00 Y:00 P:26 SP:FB PPU:114
C742  90 03     BCC A:00 X:00 Y:00 P:27 SP:FB PPU:120
C744  4C 4B C7  JMP A:00 X:00 Y:00 P:27 SP:FB PPU:126
C74B  EA        NOP A:00 X:00 Y:00 P:27 SP:FB PPU:135
C74C  18        CLC A:00 X:00 Y:00 P:27 SP:FB PPU:141
C74D  90 04     BCC A:00 X:00 Y:00 P:26 SP:FB PPU:147
C753  EA        NOP A:00 X:00 Y:00 P:26 SP:FB PPU:156
C754  A9 00     LDA A:00 X:00 Y:00 P:26 SP:FB PPU:162
C756  F0 04     BEQ A:00 X:00 Y:00 P:26 SP:FB PPU:168
C75C  EA        NOP A:00 X:00 Y:00 P:26 SP:FB PPU:177
C75D  A9 40     LDA A:00 X:00 Y:00 P:26 SP:FB PPU:183
C75F  F0 03     BEQ A:40 X:00 Y:00 P:24 SP:FB PPU:189
C761  4C 68 C7  JMP A:40 X:00 Y:00 P:24 SP:FB PPU:195
C768  EA        NOP A:40 X:00 Y:00 P:24 SP:FB PPU:204
C769  A9 40     LDA A:40 X:00 Y:00 P:24 SP:FB PPU:210
C76B  D0 04     BNE A:40 X:00 Y:00 P:24 SP:FB PPU:216
C771  EA        NOP A:40 X:00 Y:00 P:24 SP:FB PPU:225
C772  A9 00     LDA A:40 X:00 Y:00 P:24 SP:FB PPU:231
C774  D0 03     BNE A:00 X:00 Y:00 P:26 SP:FB PPU:237
C776  4C 7D C7  JMP A:00 X:00 Y:00 P:26 SP:FB PPU:243
C77D  EA        NOP A:00 X:00 Y:00 P:26 SP:FB PPU:252
C77E  A9 FF     LDA A:00 X:00 Y:00 P:26 SP:FB PPU:258
C780  85 01     STA A:FF X:00 Y:00 P:A4 SP:FB PPU:264
C782  24 01     BIT A:FF X:00 Y:00 P:A4 SP:FB PPU:273
C784  70 04     BVS A:FF X:00 Y:00 P:E4 SP:FB PPU:282
C78A  EA        NOP A:FF X:00 Y:00 P:E4 SP:FB PPU:291
C78B  24 01     BIT A:FF X:00 Y:00 P:E4 SP:FB PPU:297
C78D  50 03     BVC A:FF X:00 Y:00 P:E4 SP:FB PPU:306
C78F  4C 96 C7  JMP A:FF X:00 Y:00 P:E4 SP:FB PPU:312
C796  EA        NOP A:FF X:00 Y:00 P:E4 SP:FB PPU:321
C797  A9 00     LDA A:FF X:00 Y:00 P:E4 SP:FB PPU:327
C799  85 01     STA A:00 X:00 Y:00 P:66 SP:FB PPU:333
C79B  24 01     BIT A:00 X:00 Y:00 P:66 SP:FB PPU:  1
C79D  50 04     BVC A:00 X:00 Y:00 P:26 SP:FB PPU: 10
C7A3  EA        NOP A:00 X:00 Y:00 P:26 SP:FB PPU: 19
C7A4  24 01     BIT A:00 X:00 Y:00 P:26 SP:FB PPU: 25
C7A6  70 03     BVS A:00 X:00 Y:00 P:26 SP:FB PPU: 34
C7A8  4C AF C7  JMP A:00 X:00 Y:00 P:26 SP:FB PPU: 40
C7AF  EA        NOP A:00 X:00 Y:00 P:26 SP:FB PPU: 49
C7B0  A9 00     LDA A:00 X:00 Y:00 P:26 SP:FB PPU: 55
C7B2  10 04     BPL A:00 X:00 Y:00 P:26 SP:FB PPU: 61
C7B8  EA        NOP A:00 X:00 Y:00 P:26 SP:FB PPU: 70
C7B9  A9 80     LDA A:00 X:00 Y:00 P:26 SP:FB PPU: 76
C7BB  10 03     BPL A:80 X:00 Y:00 P:A4 SP:FB PPU: 82
C7BD  4C D9 C7  JMP A:80 X:00 Y:00 P:A4 SP:FB PPU: 88
C7D9  EA        NOP A:80 X:00 Y:00 P:A4 SP:FB PPU: 97
C7DA  60        RTS A:80 X:00 Y:00 P:A4 SP:FB PPU:103
C600  20 DB C7  JSR A:80 X:00 Y:00 P:A4 SP:FD PPU:121
C7DB  EA        NOP A:80 X:00 Y:00 P:A4 SP:FB PPU:139
C7DC  A9 FF     LDA A:80 X:00 Y:00 P:A4 SP:FB PPU:145
C7DE  85 01     STA A:FF X:00 Y:00 P:A4 SP:FB PPU:151
C7E0  24 01     BIT A:FF X:00 Y:00 P:A4 SP:FB PPU:160
C7E2  A9 00     LDA A:FF X:00 Y:00 P:E4 SP:FB PPU:169
C7E4  38        SEC A:00 X:00 Y:00 P:66 SP:FB PPU:175
C7E5  78        SEI A:00 X:00 Y:00 P:67 SP:FB PPU:181
C7E6  F8        SED A:00 X:00 Y:00 P:67 SP:FB PPU:187
C7E7  08        PHP A:00 X:00 Y:00 P:6F SP:FB PPU:193
C7E8  68        PLA A:00 X:00 Y:00 P:6F SP:FA PPU:202
C7E9  29 EF     AND A:7F X:00 Y:00 P:6D SP:FB PPU:214
C7EB  C9 6F     CMP A:6F X:00 Y:00 P:6D SP:FB PPU:220
C7ED  F0 04     BEQ A:6F X:00 Y:00 P:6F SP:FB PPU:226
C7F3  EA        NOP A:6F X:00 Y:00 P:6F SP:FB PPU:235
C7F4  A9 40     LDA A:6F X:00 Y:00 P:6F SP:FB PPU:241
